Engilish,Türkçe
the,the
I,BEN
to,ile
and,Ve
a,A
of,ile ilgili
was,öyleydi
he,O
you,Sen
it,BT
in,içinde
her,o
she,o
that,O
my,Benim
his,onun
me,Ben
on,Açık
with,ile
at,en
as,gibi
had,vardı
for,için
but,Ancak
him,o
said,söz konusu
be,olmak
up,yukarı
out,dışarı
look,Bakmak
so,Bu yüzden
have,sahip olmak
what,Ne
not,Olumsuz
just,Sadece
like,beğenmek
go,Gitmek
they,Onlar
is,dır-dir
this,Bu
from,itibaren
all,Tümü
we,Biz
were,vardı
back,geri
do,Yapmak
one,bir
about,hakkında
know,Bilmek
if,eğer
when,Ne zaman
get,elde etmek
then,Daha sonra
into,içine
would,istemek
no,HAYIR
there,Orası
I'm,Ben
could,abilir
don't,yapma
ask,sormak
down,aşağı
time,zaman
didn't,yapmadı
want,istek
eye,göz
them,onlara
over,üzerinde
your,senin
are,öyle
or,veya
been,olmuştur
now,Şimdi
an,BİR
by,ile
think,düşünmek
see,Görmek
hand,el
it's,onun
say,söylemek
how,Nasıl
around,etrafında
head,KAFA
did,yaptı
well,Peki
before,önce
off,kapalı
who,DSÖ
more,Daha
even,eşit
turn,dönüş
come,Gelmek
smile,gülümsemek
way,yol
really,Gerçekten
can,olabilmek
face,yüz
other,diğer
some,bazı
right,Sağ
their,onların
only,sadece
walk,yürümek
make,yapmak
got,var
try,denemek
something,bir şey
room,oda
again,Tekrar
thing,şey
after,sonrasında
still,Hala
thought,düşünce
door,kapı
here,Burada
too,fazla
little,biraz
because,Çünkü
why,Neden
away,uzak
let,izin vermek
take,almak
two,iki
start,başlangıç
good,iyi
where,Neresi
never,Asla
through,başından sonuna kadar
day,gün
much,fazla
tell,söylemek
wasn't,değildi
girl,kız
feel,hissetmek
oh,ah
you're,sen
call,Arama
talk,konuşmak
will,irade
long,uzun
than,hariç
us,biz
made,yapılmış
friend,arkadaş
knew,biliyordum
open,açık
need,ihtiyaç
first,Birinci
which,Hangi
people,insanlar
that's,bu
went,gitmiş
sure,Elbette
seem,gözükmek
stop,durmak
voice,ses
very,çok
felt,keçe
took,alınmış
our,bizim
pull,çekmek
laugh,gülmek
